p,success_probability,mutual_information_bits
8.800000000000000044e-01,3.411254882812500000e-01,3.017975819560130696e-02
8.900000000000000133e-01,3.330993652343750000e-01,2.530963143845684285e-02
9.000000000000000222e-01,3.261108398437500000e-01,2.144143546499143252e-02
9.100000000000000311e-01,3.194580078125000000e-01,1.802011679060045585e-02
9.200000000000000400e-01,3.112182617187500000e-01,1.422433589304137290e-02
9.300000000000000488e-01,3.037719726562500000e-01,1.108454221699179711e-02
9.400000000000000577e-01,2.961425781250000000e-01,8.342608165021796196e-03
9.500000000000000666e-01,2.883911132812500000e-01,5.991575982456245550e-03
9.599999999999999645e-01,2.810974121093750000e-01,4.088450971172952371e-03
9.699999999999999734e-01,2.735900878906250000e-01,2.582932430445695170e-03
9.799999999999999822e-01,2.659912109375000000e-01,1.440850408568106894e-03
9.899999999999999911e-01,2.579956054687500000e-01,7.506394828571166973e-04
1.000000000000000000e+00,2.501831054687500000e-01,4.469148881254600262e-04
