scale_factor,delay_ns,bloch_x,bloch_y,bloch_z,fidelity
4.750000000000000000e+01,2.375000000000000000e+04,6.865234375000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.432617251860400343e-01
5.000000000000000000e+01,2.500000000000000000e+04,6.723632812500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.361816471773435566e-01
5.250000000000000000e+01,2.625000000000000000e+04,6.586914062500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.293457097854665117e-01
5.500000000000000000e+01,2.750000000000000000e+04,6.437988281250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.218994208363181730e-01
5.750000000000000000e+01,2.875000000000000000e+04,6.311035156250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.155517646794668840e-01
6.000000000000000000e+01,3.000000000000000000e+04,6.184082031250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.092041085195508243e-01
6.250000000000000000e+01,3.125000000000000000e+04,6.071777343750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.035888742217793812e-01
6.500000000000000000e+01,3.250000000000000000e+04,5.976562500000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.988281320980049616e-01
6.750000000000000000e+01,3.375000000000000000e+04,5.871582031250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.935791087289592038e-01
7.000000000000000000e+01,3.500000000000000000e+04,5.717773437500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.858886791384367410e-01
7.250000000000000000e+01,3.625000000000000000e+04,5.642089843750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.821044994972511377e-01
7.500000000000000000e+01,3.750000000000000000e+04,5.532226562500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.766113355003788632e-01
7.750000000000000000e+01,3.875000000000000000e+04,5.434570312500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.717285230571583332e-01
8.000000000000000000e+01,4.000000000000000000e+04,5.329589843750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.664794996791027826e-01
8.250000000000000000e+01,4.125000000000000000e+04,5.202636718750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.601318434988358907e-01
8.500000000000000000e+01,4.250000000000000000e+04,5.087890625000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.543945388723851675e-01
8.750000000000000000e+01,4.375000000000000000e+04,4.997558593750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.498779373566580864e-01
9.000000000000000000e+01,4.500000000000000000e+04,4.890136718750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.445068436608294205e-01
9.250000000000000000e+01,4.625000000000000000e+04,4.768066406250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.384033280955180079e-01
9.500000000000000000e+01,4.750000000000000000e+04,4.643554687500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.321777422168960214e-01
9.750000000000000000e+01,4.875000000000000000e+04,4.565429687500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.282714922528257251e-01
1.000000000000000000e+02,5.000000000000000000e+04,4.479980468750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.239990313537434385e-01
1.025000000000000000e+02,5.125000000000000000e+04,4.399414062500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.199707110766369045e-01
1.050000000000000000e+02,5.250000000000000000e+04,4.328613281250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.164306720445817733e-01
1.075000000000000000e+02,5.375000000000000000e+04,4.262695312500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.131347736348838673e-01
1.100000000000000000e+02,5.500000000000000000e+04,4.152832031250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.076416096175637271e-01
1.125000000000000000e+02,5.625000000000000000e+04,4.079589843750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.039795002718925998e-01
1.150000000000000000e+02,5.750000000000000000e+04,4.003906250000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,7.001953206140432151e-01
1.175000000000000000e+02,5.875000000000000000e+04,3.916015625000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,6.958007893976464464e-01
